Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_10x10,1,470uF, C3351
"C10, C9",0603,2,22pF,
"C11, C12, C14, C15, C16, C17, C18, C19, C23, C24, C25, C26, C35, C36, C37, C39, C40, C41, C5, C51, C52",0603,21,1uF,
"C13, C53, C7",0603,3,10uF,
"C2, C3, C6",CP_EIA-3528-21_Kemet-B,3,100uF,C16133
"C20, C21, C22, C45, C48",0603,5,1nF,
"C27, C33, C34, C38, C4, C42, C43, C46, C49, C50, C54, C8",0603,12,0.1uF,
"C28, C29, C30, C31, C32",0603,5,10nF,
"C44, C47",0603,2,50pF,
"D1, D2",DIOM4336X244N,2,SS54B,C698840
"D3, D4",0603,2,RED,
IC1,SOIC127P600X175-14N,1,LM2901DT,C142961
IC10,SOIC127P599X175-8N,1,SN65HVD234,
IC2,SOIC127P600X175-14N,1,CD74HC30M, C6540
IC3,SOIC-20,1,MC74HCT573ADWR2G, C233618
IC4,SOIC127P600X175-16N,1,74HCT4052D,C87281
IC5,SOIC127P600X175-8N,1,MCP602-I_SN,C29605
J2,PinHeader_1x06_P2.54mm_Vertical,1,PROG_WIFI,
L1,L_Sunlord_SWRB1207S,1,470uH,C169382 
"L2, L3",0603,2,10uH,
Q1,SOT-23,1,MMBT3904,
"R1, R15, R16, R17, R19, R20, R21, R24, R25, R26, R39, R40, R49, R50",0603,14,10K,
"R10, R12, R14, R55, R57",0603,5,1K5,
"R11, R13, R4, R42, R51, R54, R56, R9",0603,8,4K7,
"R18, R45, R46",0603,3,3K3,
"R2, R22, R3, R5, R52, R6, R7",0603,7,1K,
R23,0603,1,100R,
"R27, R28, R29, R30, R31",0603,5,560R,
"R32, R33, R34, R35, R37",0603,5,150K,
R36,0603,1,470K,
R38,0603,1,120R,
"R41, R48",0603,2,100K,
"R43, R47",0603,2,62K,
R44,0603,1,3K16,
"R53, R58",RESCAXS80P320X160X60-8N,2,4D03WGJ0103T5E,
R8,0603,1,470R,
U1,TO-263-5_TabPin6,1,LM2596S-5, C10002
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,C347229
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F103RBT6,
U4,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
"U5, U6",TO254P1524X457-3N,2,BTS133TC,
Y1,RESC5032X135N,1,X50328MSB2GI,
